company_name,source,publication_date,title,url,snippet
Canva,reuters.com,2026-05-20,Canva appoints former Airbnb finance chief as CFO,https://example.com/canva-cfo,"Canva appointed a new chief financial officer as the design software company prepares for its next phase of growth."
Canva,businesswire.com,2026-04-18,Canva expands board with independent director,https://example.com/canva-board,"Canva announced an independent director joins board, adding public-market experience."
Stripe,ft.com,2026-05-11,Stripe discusses secondary sale with investors,https://example.com/stripe-secondary,"Stripe is discussing a secondary sale process with investors while monitoring market conditions for an IPO."
Stripe,prnewswire.com,2026-03-07,Stripe announces new credit facility,https://example.com/stripe-credit,"Stripe announced a new credit facility and debt refinancing to support global expansion."
Databricks,bloomberg.com,2026-05-09,Databricks hires banks for potential listing,https://example.com/databricks-ipo,"Databricks has retained investment banks as advisors for a potential initial public offering."
Revolut,reuters.com,2026-05-21,Revolut board adds veteran bank executive,https://example.com/revolut-board,"Revolut appointed a former bank executive to board as it expands globally."
Bolt,techcrunch.com,2026-04-09,Bolt expands hiring in payments and delivery,https://example.com/bolt-hiring,"Bolt has accelerated hiring across payments and delivery but did not comment on transaction plans."
Checkout.com,ft.com,2026-05-22,Checkout.com explores strategic alternatives,https://example.com/checkout-review,"Checkout.com is exploring strategic alternatives after inbound acquisition interest from financial sponsors."
Anduril,prnewswire.com,2026-04-16,Anduril raises new growth investment,https://example.com/anduril-growth,"Anduril raised a growth investment round to expand defense manufacturing capacity."
Northvolt,bloomberg.com,2026-02-28,Northvolt in debt restructuring talks,https://example.com/northvolt-debt,"Northvolt is in debt restructuring and refinancing talks with lenders."
Mistral AI,businesswire.com,2026-05-02,Mistral AI raises new funding round,https://example.com/mistral-funding,"Mistral AI raised a funding round from global investors to expand AI infrastructure."
Razorpay,reuters.com,2026-05-05,Razorpay appoints CFO with IPO experience,https://example.com/razorpay-cfo,"Razorpay appointed a chief financial officer with IPO experience as it considers public market readiness."
